Model,MDO3052
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.7
,
,
,
Label,
TIME,CH1
-1.288000e-02,-0.00464688
-1.287000e-02,-0.00480313
-1.286000e-02,-0.00473125
-1.285000e-02,-0.00467813
-1.284000e-02,-0.0046125
-1.283000e-02,-0.00470469
-1.282000e-02,-0.00467031
-1.281000e-02,-0.00478906
-1.280000e-02,-0.00478906
-1.279000e-02,-0.00475313
-1.278000e-02,-0.00464844
-1.277000e-02,-0.00457344
-1.276000e-02,-0.00476094
-1.275000e-02,-0.00481406
-1.274000e-02,-0.00467813
-1.273000e-02,-0.00477344
-1.272000e-02,-0.00461719
-1.271000e-02,-0.00453594
-1.270000e-02,-0.00467969
-1.269000e-02,-0.00476094
-1.268000e-02,-0.00460313
-1.267000e-02,-0.00474063
-1.266000e-02,-0.00477813
-1.265000e-02,-0.0046
-1.264000e-02,-0.00464688
-1.263000e-02,-0.00474688
-1.262000e-02,-0.00483125
-1.261000e-02,-0.00468125
-1.260000e-02,-0.00471875
-1.259000e-02,-0.00443438
-1.258000e-02,-0.00498906
-1.257000e-02,-0.00452656
-1.256000e-02,-0.00466719
-1.255000e-02,-0.00477344
-1.254000e-02,-0.00479688
-1.253000e-02,-0.00473438
-1.252000e-02,-0.00468906
-1.251000e-02,-0.00453906
-1.250000e-02,-0.00476562
-1.249000e-02,-0.00458281
-1.248000e-02,-0.00474688
-1.247000e-02,-0.00462188
-1.246000e-02,-0.00468438
-1.245000e-02,-0.00458438
-1.244000e-02,-0.00444219
-1.243000e-02,-0.00466094
-1.242000e-02,-0.00452969
-1.241000e-02,-0.00475156
-1.240000e-02,-0.00473281
-1.239000e-02,-0.00467188
-1.238000e-02,-0.00471094
-1.237000e-02,-0.00457656
-1.236000e-02,-0.00475469
-1.235000e-02,-0.00476562
-1.234000e-02,-0.00450313
-1.233000e-02,-0.00468125
-1.232000e-02,-0.00484063
-1.231000e-02,-0.00460781
-1.230000e-02,-0.00468281
-1.229000e-02,-0.004725
-1.228000e-02,-0.00475
-1.227000e-02,-0.00457344
-1.226000e-02,-0.00475
-1.225000e-02,-0.00475313
-1.224000e-02,-0.00474219
-1.223000e-02,-0.00468594
-1.222000e-02,-0.00464688
-1.221000e-02,-0.00493594
-1.220000e-02,-0.00475625
-1.219000e-02,-0.00450781
-1.218000e-02,-0.00488594
-1.217000e-02,-0.00470938
-1.216000e-02,-0.00469219
-1.215000e-02,-0.00470312
-1.214000e-02,-0.00477813
-1.213000e-02,-0.00476562
-1.212000e-02,-0.00479531
-1.211000e-02,-0.00473125
-1.210000e-02,-0.00452344
-1.209000e-02,-0.00497188
-1.208000e-02,-0.00497969
-1.207000e-02,-0.00478906
-1.206000e-02,-0.00462344
-1.205000e-02,-0.00463906
-1.204000e-02,-0.00466719
-1.203000e-02,-0.00472344
-1.202000e-02,-0.00464375
-1.201000e-02,-0.00453594
-1.200000e-02,-0.00468281
-1.199000e-02,-0.0047
-1.198000e-02,-0.00483437
-1.197000e-02,-0.00479531
-1.196000e-02,-0.004775
-1.195000e-02,-0.00475937
-1.194000e-02,-0.00460156
-1.193000e-02,-0.00472813
-1.192000e-02,-0.00478438
-1.191000e-02,-0.00463594
-1.190000e-02,-0.00477656
-1.189000e-02,-0.00465469
-1.188000e-02,-0.00459375
-1.187000e-02,-0.00452188
-1.186000e-02,-0.00472344
-1.185000e-02,-0.00468438
-1.184000e-02,-0.00462031
-1.183000e-02,-0.004675
-1.182000e-02,-0.00476094
-1.181000e-02,-0.00465938
