NaCl,,Be Pd,,,Cd Ga2 Se4,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps,2θ - °,Y,Intensity - cps
16.18,7173.3,,,,,,
16.19,7013.3,,,,,,
16.2,7146.7,,,,,,
16.21,6760,,,,,,
16.22,6493.3,,,,,,
16.23,7093.3,,,,,,
16.24,6933.3,,,,,,
16.25,6573.3,,,,,,
16.26,6840,,,,,,
16.27,7266.7,,,,,,
16.28,7426.7,,,,,,
16.29,7240,,,,,,
16.3,7400,,,,,,
16.31,7000,,,,,,
16.32,7080,,,,,,
16.33,7306.7,,,,,,
16.34,7560,,,,,,
16.35,7226.7,,,,,,
16.36,6853.3,,,,,,
16.37,7026.7,,,,,,
16.38,7066.7,,,,,,
16.39,6906.7,,,,,,
16.4,6613.3,,,,,,
16.41,6680,,,,,,
16.42,6826.7,,,,,,
16.43,6866.7,,,,,,
16.44,7040,,,,,,
16.45,6853.3,,,,,,
16.46,7066.7,,,,,,
16.47,7146.7,,,,,,
16.48,6906.7,,,,,,
16.49,7053.3,,,,,,
16.5,7080,,,,,,
16.51,6666.7,,,,,,
16.52,6493.3,,,,,,
16.53,6400,,,,,,
16.54,6906.7,,,,,,
16.55,7040,,,,,,
16.56,7000,,,,,,
16.57,7160,,,,,,
16.58,7386.7,,,,,,
16.59,7053.3,,,,,,
16.6,6786.7,,,,,,
16.61,7093.3,,,,,,
16.62,7066.7,,,,,,
16.63,6960,,,,,,
16.64,7013.3,,,,,,
16.65,7013.3,,,,,,
16.66,7173.3,,,,,,
16.67,7053.3,,,,,,
16.68,6720,,,,,,
16.69,6493.3,,,,,,
16.7,6746.7,,,,,,
16.71,6893.3,,,,,,
16.72,7013.3,,,,,,
16.73,7026.7,,,,,,
16.74,7173.3,,,,,,
16.75,6960,,,,,,
16.76,6800,,,,,,
16.77,7026.7,,,,,,
16.78,7200,,,,,,
16.79,7000,,,,,,
16.8,6946.7,,,,,,
16.81,6893.3,,,,,,
16.82,6960,,,,,,
16.83,7293.3,,,,,,
16.84,6906.7,,,,,,
16.85,6906.7,,,,,,
16.86,6920,,,,,,
16.87,6800,,,,,,
16.88,6906.7,,,,,,
16.89,7013.3,,,,,,
16.9,6986.7,,,,,,
16.91,7386.7,,,,,,
16.92,6986.7,,,,,,
16.93,6506.7,,,,,,
16.94,6986.7,,,,,,
